Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Albany,Weekly,6/01/2020 0:00,Conventional,1.155100335,161726.12,3737,140642.19,184.16,10996.65,0,0,0,6166.13
Albany,Weekly,12/01/2020 0:00,Conventional,1.22760888,116738.3,3649.24,90717.11,203.78,16359.88,0,0,0,5808.29
Albany,Weekly,19/01/2020 0:00,Conventional,1.088107221,138162.91,5057.86,108635.2,306.59,15879.12,0,0,0,8284.13
Albany,Weekly,26/01/2020 0:00,Conventional,1.160866356,106202.76,4124.56,72571.73,270.72,21273.86,0,0,0,7961.9
Albany,Weekly,2/02/2020 0:00,Conventional,1.251056884,186210.93,4933.07,156256.79,215.29,17313.74,0,0,0,7492.04
Albany,Weekly,9/02/2020 0:00,Conventional,1.182923141,112733.67,4385.86,83521.42,112.53,15897.54,0,0,0,8816.32
Albany,Weekly,16/02/2020 0:00,Conventional,1.219410872,98161.95,4501.3,69443.44,116.05,14938.31,0,0,0,9162.84
Albany,Weekly,23/02/2020 0:00,Conventional,1.343168053,121781.37,4297.94,94323.17,118.28,15227.58,0,0,0,7814.4
Albany,Weekly,1/03/2020 0:00,Conventional,1.292302301,102824.97,10324.34,69489.98,77.75,16112.18,0,0,0,6820.71
Albany,Weekly,8/03/2020 0:00,Conventional,1.265653188,138106.43,7035.64,99396.14,107.65,22099.25,0,0,0,9467.75
Albany,Weekly,15/03/2020 0:00,Conventional,1.275168717,135921.39,12355.25,87227.77,112.61,24600.09,0,0,0,11625.67
Albany,Weekly,22/03/2020 0:00,Conventional,1.345303891,163295.93,12378.23,113326.8,192.78,27089.14,0,0,0,10308.98
Albany,Weekly,29/03/2020 0:00,Conventional,1.143093153,142254.02,21796.91,94668.78,196.87,18231.5,0,0,0,7359.97
Albany,Weekly,5/04/2020 0:00,Conventional,1.259301549,126131.88,16374.94,78938.31,202.58,22103.68,0,0,0,8512.37
Albany,Weekly,12/04/2020 0:00,Conventional,1.443246076,131812.89,17859.96,85132.72,200.09,23083.57,0,0,0,5536.54
Albany,Weekly,19/04/2020 0:00,Conventional,1.454467131,120773.4,10285.29,82570.03,182.97,19056.38,0,0,0,8678.73
Albany,Weekly,26/04/2020 0:00,Conventional,1.523867411,162750.21,9975.95,122140.4,126.71,20876.51,0,0,0,9630.64
Albany,Weekly,3/05/2020 0:00,Conventional,1.469798646,147828.27,9516.93,104621.13,265.62,21644.16,0,0,0,11780.44
Albany,Weekly,10/05/2020 0:00,Conventional,1.32060167,186598.87,11783.77,139712.07,232.47,23057.54,0,0,0,11813.02
Albany,Weekly,17/05/2020 0:00,Conventional,1.522925008,155788.15,9215.86,112819.39,192.78,21634,0,0,0,11926.12
Albany,Weekly,24/05/2020 0:00,Conventional,1.46520653,156585.19,9724.78,109421.12,279.03,24257.65,0,0,0,12902.6
Albany,Weekly,31/05/2020 0:00,Conventional,1.532191213,184144.8,10931.81,140762.3,309.24,21831.46,0,0,0,10309.99
Albany,Weekly,7/06/2020 0:00,Conventional,1.435383002,145578.2,9409.95,101987.48,192.78,24912.7,0,0,0,9075.28
Albany,Weekly,14/06/2020 0:00,Conventional,1.367060182,199267.48,10239.42,154286.78,494.8,23645.07,0,0,0,10601.4
Albany,Weekly,21/06/2020 0:00,Conventional,1.490540424,140597.37,10158.75,101629.3,302.25,21430.67,0,0,0,7076.4
Albany,Weekly,28/06/2020 0:00,Conventional,1.54168596,149462.76,10397.48,114190.76,254.14,20071.58,0,0,0,4548.79
Albany,Weekly,5/07/2020 0:00,Conventional,1.433643703,146451.1,10223.7,107173.61,341.22,26043.54,0,0,0,2669.03
Albany,Weekly,12/07/2020 0:00,Conventional,1.522719361,141855.37,6708.1,105628.68,338.27,26141.05,0,0,0,3039.27
Albany,Weekly,19/07/2020 0:00,Conventional,1.338973144,135758.48,8983.93,92284.57,419.66,30722.78,0,0,0,3347.56
Albany,Weekly,26/07/2020 0:00,Conventional,1.394884918,163089.46,8398.77,111173.06,199.13,39174.95,0,0,0,4143.55
Albany,Weekly,2/08/2020 0:00,Conventional,1.183396016,149144.75,7694.9,94214.9,189.29,45028.92,0,0,0,2016.73
Albany,Weekly,9/08/2020 0:00,Conventional,1.001741708,151700.13,10942.78,104697.48,320.75,34059.2,0,0,0,1679.92
Albany,Weekly,16/08/2020 0:00,Conventional,1.358984041,159535.06,8317,115801.25,363.85,30213,0,0,0,4839.97
Albany,Weekly,23/08/2020 0:00,Conventional,1.128180621,119195.04,10552.5,81664.36,354.54,22242.3,0,0,0,4381.34
Albany,Weekly,30/08/2020 0:00,Conventional,1.042628866,135446.03,8923.81,102863.79,247.83,18731.63,0,0,0,4678.97
Albany,Weekly,6/09/2020 0:00,Conventional,1.353883982,124227.97,8094.03,89700.13,112.45,21593.79,0,0,0,4727.56
Albany,Weekly,13/09/2020 0:00,Conventional,1.056936568,113169.54,6390.65,78652.51,119.07,24800.19,0,0,0,3207.12
Albany,Weekly,20/09/2020 0:00,Conventional,1.061934979,122826.04,6925.76,89135.45,103.3,20077.22,0,0,0,6584.31
Albany,Weekly,27/09/2020 0:00,Conventional,1.385493165,124474.66,6016.44,94747.85,114.51,20199.27,0,0,0,3396.58
Albany,Weekly,4/10/2020 0:00,Conventional,1.265458877,106833.49,6545.28,74937.27,98.67,21171.36,0,0,0,4080.91
Albany,Weekly,11/10/2020 0:00,Conventional,1.32017606,115594.77,5790.31,85707.36,41.58,19358.43,0,0,0,4697.09
Albany,Weekly,18/10/2020 0:00,Conventional,1.087752878,105924.61,5720.02,77890.21,9.1,16583.35,0,0,0,5721.93
Albany,Weekly,25/10/2020 0:00,Conventional,1.219199776,126229.61,5813.68,100094.51,19.94,15171.19,0,0,0,5130.29
Albany,Weekly,1/11/2020 0:00,Conventional,1.407304835,118243.15,6178.33,90732.19,1.89,15334.44,0,0,0,5996.3
Albany,Weekly,8/11/2020 0:00,Conventional,1.240652579,104049.68,4101.62,80446.5,25.04,16431.69,0,0,0,3044.83
Albany,Weekly,15/11/2020 0:00,Conventional,1.389898332,128383.98,6319.43,98781.79,42.67,17761.49,0,0,0,5478.59
Albany,Weekly,22/11/2020 0:00,Conventional,0.945943641,128831.99,6197.15,98539.65,29.37,19322.52,0,0,0,4743.3
Albany,Weekly,29/11/2020 0:00,Conventional,0.950167657,95877.52,5233.72,71132.04,29.3,15544.55,0,0,0,3937.92
Albany,Weekly,6/12/2020 0:00,Conventional,1.312320903,123672.59,6292.22,89332.5,31.99,22188.97,0,0,0,5826.91
Albany,Weekly,13/12/2020 0:00,Conventional,0.965636694,122345.89,5643.87,91315.5,72.6,19638.14,0,0,0,5675.79
Albany,Weekly,20/12/2020 0:00,Conventional,1.246676529,101742.76,6266.37,73312.73,25.52,18334.6,0,0,0,3803.54
Albany,Weekly,27/12/2020 0:00,Conventional,1.081859049,93589.05,5808.19,66094.46,22.68,18188.13,0,0,0,3475.59
Atlanta,Weekly,6/01/2020 0:00,Conventional,0.941879812,714246.17,314827.55,31986.58,2757.78,88049.73,0,0,0,276624.54
Atlanta,Weekly,12/01/2020 0:00,Conventional,0.932356941,743150.44,329534.02,32341.84,2497.81,101508.88,0,0,0,277267.9
Atlanta,Weekly,19/01/2020 0:00,Conventional,0.932959644,742157.23,337285.47,29918.72,3425.56,105447.93,0,0,0,266079.56
