Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Albany,Weekly,"2022-01-23 00:00:00",Conventional,1.135643678,142311.20,37406.10,69887.81,16.75,28467.89,,,,6532.64
Albany,Weekly,"2022-01-16 00:00:00",Conventional,1.204902481,130741.90,35196.66,62384.39,26.80,27990.00,,,,5144.05
Albany,Weekly,"2022-01-09 00:00:00",Conventional,1.197224079,128466.26,31710.93,63179.42,13.04,26615.65,,,,6947.21
Albany,Weekly,"2022-01-03 00:00:00",Conventional,1.065195915,141578.52,47997.58,69240.82,11.15,22023.01,,,,2305.95
Atlanta,Weekly,"2022-01-23 00:00:00",Conventional,1.248753437,708279.32,268665.42,18654.43,118.58,134487.02,,,,286353.86
Atlanta,Weekly,"2022-01-16 00:00:00",Conventional,1.203556203,900523.56,336075.40,27000.07,131.00,153782.77,,,,383534.31
Atlanta,Weekly,"2022-01-09 00:00:00",Conventional,1.186341107,781699.94,307825.82,26395.50,79.63,146244.41,,,,301154.58
Atlanta,Weekly,"2022-01-03 00:00:00",Conventional,1.017629959,774665.32,329058.65,18964.96,70.09,125578.01,,,,300993.60
Baltimore/Washington,Weekly,"2022-01-23 00:00:00",Conventional,1.484066286,903286.43,214611.20,192219.04,3339.91,392544.11,,,,100572.17
Baltimore/Washington,Weekly,"2022-01-16 00:00:00",Conventional,1.425475714,972309.74,223303.30,211913.32,2943.96,431162.16,,,,102987.01
Baltimore/Washington,Weekly,"2022-01-09 00:00:00",Conventional,1.263998297,1039384.78,251556.38,199487.14,3615.33,475969.73,,,,108756.20
Baltimore/Washington,Weekly,"2022-01-03 00:00:00",Conventional,1.294365832,877505.91,211810.11,166239.37,3064.05,416439.51,,,,79952.88
Birmingham/Montgomery,Weekly,"2022-01-23 00:00:00",Conventional,1.183882223,309419.83,139118.69,5800.54,66.16,84180.62,,,,80253.82
Birmingham/Montgomery,Weekly,"2022-01-16 00:00:00",Conventional,1.165038993,331414.01,145573.70,6649.58,41.60,88138.53,,,,91010.60
Birmingham/Montgomery,Weekly,"2022-01-09 00:00:00",Conventional,1.122652604,318134.38,136016.69,6711.10,59.63,90821.73,,,,84525.22
Birmingham/Montgomery,Weekly,"2022-01-03 00:00:00",Conventional,0.980741832,323009.41,156534.87,6057.06,33.77,79572.56,,,,80811.14
Boise,Weekly,"2022-01-23 00:00:00",Conventional,1.333466702,119862.81,24439.37,4048.46,783.39,39194.53,,,,51397.06
Boise,Weekly,"2022-01-16 00:00:00",Conventional,1.449276690,113915.36,23676.44,6873.28,845.31,32094.30,,,,50426.02
Boise,Weekly,"2022-01-09 00:00:00",Conventional,1.327297129,115342.29,21358.93,9434.53,920.74,32277.81,,,,51350.28
Boise,Weekly,"2022-01-03 00:00:00",Conventional,1.143143949,126710.89,22274.56,8729.90,930.89,26516.06,,,,68259.48
Boston,Weekly,"2022-01-23 00:00:00",Conventional,1.510307807,632402.83,69395.06,312010.46,68.11,159531.23,,,,91397.96
Boston,Weekly,"2022-01-16 00:00:00",Conventional,1.363962559,714978.34,77830.48,323769.17,48.80,158663.95,,,,154665.95
Boston,Weekly,"2022-01-09 00:00:00",Conventional,1.542009814,640435.03,59433.35,337193.91,65.77,155566.92,,,,88175.08
Boston,Weekly,"2022-01-03 00:00:00",Conventional,1.343450604,576043.86,65242.90,312266.11,49.90,116490.99,,,,81993.95
Buffalo/Rochester,Weekly,"2022-01-23 00:00:00",Conventional,1.322058727,196382.50,40560.79,45565.21,135.92,105685.12,,,,4435.46
