Geography,Timeframe,Lat,Lng ,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Great Lakes,Weekly,,,6/01/2020 0:00,Conventional,0.964466503,3908582.84,814090.3,806340.52,317423.3,464037.64,0,0,0,1506691.07
Great Lakes,Weekly,,,12/01/2020 0:00,Conventional,1.034143541,3903810.13,833709.74,619109.57,207701.97,610866.48,0,0,0,1632422.37
Great Lakes,Weekly,,,19/01/2020 0:00,Conventional,0.993685133,4270934.23,777424.43,1058403.46,418351.96,526528.17,0,0,0,1490226.21
Great Lakes,Weekly,,,26/01/2020 0:00,Conventional,1.092170319,3649629.27,670789.27,620859.05,174437.63,1029945.1,0,0,0,1153598.24
Great Lakes,Weekly,,,2/02/2020 0:00,Conventional,0.798124154,5729623.3,1046393.21,1154601.04,443921.16,1010222.74,0,0,0,2074485.16
Great Lakes,Weekly,,,9/02/2020 0:00,Conventional,0.970189315,3947839.35,823251.85,756912.34,245399.03,573950.11,0,0,0,1548326.01
Great Lakes,Weekly,,,16/02/2020 0:00,Conventional,1.152901847,3214145.27,649501.92,545433.65,161450.83,576240.72,0,0,0,1281518.15
Great Lakes,Weekly,,,23/02/2020 0:00,Conventional,1.113273551,3847029.75,727210.44,733173.58,315968.19,584752.61,0,0,0,1485924.92
Great Lakes,Weekly,,,1/03/2020 0:00,Conventional,1.155571134,3597034.49,786489.62,527090.86,162441.93,576618.63,0,0,0,1544393.45
Great Lakes,Weekly,,,8/03/2020 0:00,Conventional,1.167478152,3843503.36,731496.57,518730.05,156195.15,976923.57,0,0,0,1460158.03
Great Lakes,Weekly,,,15/03/2020 0:00,Conventional,1.357595838,4084779.63,925898.33,608421.68,180957.08,776766.43,0,0,0,1592736.1
Great Lakes,Weekly,,,22/03/2020 0:00,Conventional,1.288235117,4185317.47,995543.07,671069.44,177498.63,682241.98,0,0,0,1658964.35
Great Lakes,Weekly,,,29/03/2020 0:00,Conventional,1.152227104,3942914.25,949832.66,622854.11,155528.71,767210.05,0,0,0,1447488.72
Great Lakes,Weekly,,,5/04/2020 0:00,Conventional,1.17228104,4177311.38,1123242,697197.19,179131.65,688161.97,0,0,0,1489578.57
Great Lakes,Weekly,,,12/04/2020 0:00,Conventional,1.331498603,3965850.67,1047192.84,633348.88,208602.6,665664.2,0,0,0,1411042.15
Great Lakes,Weekly,,,19/04/2020 0:00,Conventional,1.348308991,3864124.69,1013292.37,636614.68,192544.07,659688.37,0,0,0,1361985.21
Great Lakes,Weekly,,,26/04/2020 0:00,Conventional,1.354150338,4237052.27,1110024.21,672501.3,216255.01,743790.79,0,0,0,1494480.97
Great Lakes,Weekly,,,3/05/2020 0:00,Conventional,1.060083977,5562356.95,1467797.3,854431.12,229439.06,768527.32,0,0,0,2242162.15
Great Lakes,Weekly,,,10/05/2020 0:00,Conventional,1.159564689,5229536.96,1562781.23,840476.58,331296.59,781093,0,0,0,1713889.57
Great Lakes,Weekly,,,17/05/2020 0:00,Conventional,1.30043166,4290058.52,1099442.42,708286.58,218706.92,763181.77,0,0,0,1500440.83
Great Lakes,Weekly,,,24/05/2020 0:00,Conventional,1.226240494,4853867.45,1309213.4,768992.89,341524.86,794792.9,0,0,0,1639343.4
Great Lakes,Weekly,,,31/05/2020 0:00,Conventional,1.12695483,5041721.59,1183602.1,786737.82,237190.35,779233.42,0,0,0,2054957.91
Great Lakes,Weekly,,,7/06/2020 0:00,Conventional,1.101860126,4976372.53,1395538.5,758748.64,298723.28,736985.98,0,0,0,1786376.14
Great Lakes,Weekly,,,14/06/2020 0:00,Conventional,1.21928734,4241648.3,986249.25,666229.86,243874.82,836418.15,0,0,0,1508876.22
Great Lakes,Weekly,,,21/06/2020 0:00,Conventional,1.221863768,4251696.37,959343.14,691002.49,248523.47,808240.91,0,0,0,1544586.37
Great Lakes,Weekly,,,28/06/2020 0:00,Conventional,0.961632286,5329835.83,1306072.86,680445.11,258928.12,746378.83,0,0,0,2338010.91
Great Lakes,Weekly,,,5/07/2020 0:00,Conventional,1.101484288,4773384.16,1121460.81,650476.03,229736.82,853287.23,0,0,0,1918423.27
Great Lakes,Weekly,,,12/07/2020 0:00,Conventional,1.103407273,4167420.67,904155.22,629316.08,213944.36,850213.75,0,0,0,1569791.27
Great Lakes,Weekly,,,19/07/2020 0:00,Conventional,1.01709061,4944125.91,1011772.07,891923.05,506300.08,971094.16,0,0,0,1563036.55
Great Lakes,Weekly,,,26/07/2020 0:00,Conventional,0.967716343,4859798.03,1099702.36,812639.79,460370.41,872171.61,0,0,0,1614913.87
Great Lakes,Weekly,,,2/08/2020 0:00,Conventional,0.993718919,4541276.95,1040017,635783.65,212895.51,1158914.2,0,0,0,1493666.58
Great Lakes,Weekly,,,9/08/2020 0:00,Conventional,1.04713989,4098713.9,805856.07,588870.75,210662.29,1144679.59,0,0,0,1348645.21
Great Lakes,Weekly,,,16/08/2020 0:00,Conventional,0.922898656,4526211.93,1022195.04,682154.76,220594.21,1011343.87,0,0,0,1589924.05
Great Lakes,Weekly,,,23/08/2020 0:00,Conventional,0.934394354,4483126.77,926073.14,628777.27,230727.49,1138323.99,0,0,0,1559224.88
Great Lakes,Weekly,,,30/08/2020 0:00,Conventional,0.988936034,4168205.88,1006328.16,616277.07,220224.65,736184.14,0,0,0,1589191.86
Great Lakes,Weekly,,,6/09/2020 0:00,Conventional,1.07030399,3913646.37,861641.33,570059.57,179137.57,851383.67,0,0,0,1451424.23
Great Lakes,Weekly,,,13/09/2020 0:00,Conventional,1.034858738,3899449.84,836045.91,580988.14,225146.15,734556.28,0,0,0,1522713.36
Great Lakes,Weekly,,,20/09/2020 0:00,Conventional,0.933623527,4112019.29,877322.57,585130.43,151430.8,806171.6,0,0,0,1691963.89
Great Lakes,Weekly,,,27/09/2020 0:00,Conventional,1.091391286,3539674.25,750036.59,559392.64,202866.43,699742.25,0,0,0,1327636.33
Great Lakes,Weekly,,,4/10/2020 0:00,Conventional,1.022737667,3838179.8,841673.77,568161.3,162238.35,824229.02,0,0,0,1441877.36
Great Lakes,Weekly,,,11/10/2020 0:00,Conventional,1.041664113,3811580.51,841065.66,606485.98,220583.49,775121.81,0,0,0,1368323.57
Great Lakes,Weekly,,,18/10/2020 0:00,Conventional,1.070860269,3669730.49,690163,609172.27,212491.31,1013294.66,0,0,0,1144609.25
