Geography,Timeframe,Lat,Lng,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Total U.S.,Weekly,#FIELD!,#FIELD!,4/01/2021 0:00,Conventional,0.848532623,45388800.75,12241081.49,9415961.22,947364.93,10088297.98,8711204.06,560196.82,498372.41,12696095.12
Total U.S.,Weekly,#FIELD!,#FIELD!,4/01/2021 0:00,Organic,1.424763796,1768766.39,84135.34,159981.37,2923.94,972149.8,941123.52,9847.74,100.8,549575.96
Total U.S.,Weekly,#FIELD!,#FIELD!,10/01/2021 0:00,Conventional,0.931911803,44305917.75,11949417.78,7940367.48,603760.93,11738952.51,10207000.3,556781.52,603408.41,12073419.04
Total U.S.,Weekly,#FIELD!,#FIELD!,10/01/2021 0:00,Organic,1.446895649,2046958.06,90362.52,142393.62,74461.3,1189394.22,1068280.54,11857.62,31.5,550346.4
Total U.S.,Weekly,#FIELD!,#FIELD!,17/01/2021 0:00,Conventional,0.948219379,44864648.1,11957104.81,8410748.32,934994.69,11653823.19,10026021.18,695246.86,579069.22,11907977.09
Total U.S.,Weekly,#FIELD!,#FIELD!,17/01/2021 0:00,Organic,1.510066697,1950864.73,103703.96,137256.79,15354.24,1118517.93,1072454.99,6575.01,2592.45,576031.8
Total U.S.,Weekly,#FIELD!,#FIELD!,24/01/2021 0:00,Conventional,0.929980505,45306162.24,11765942.95,9108383.91,837146.3,11102726.03,9698537.97,531752.52,547899.73,12491963.04
Total U.S.,Weekly,#FIELD!,#FIELD!,24/01/2021 0:00,Organic,1.457386355,1989330.1,94730.53,141181.61,4329.11,1160300.21,1121943.32,9618.83,8275.05,588788.64
Total U.S.,Weekly,#FIELD!,#FIELD!,31/01/2021 0:00,Conventional,0.950419087,44882170.05,12041263.33,8090330.89,457863.16,11595941.83,10031260.14,546154.19,625987.6,12696770.84
Total U.S.,Weekly,#FIELD!,#FIELD!,31/01/2021 0:00,Organic,1.460299133,1971622.88,81600.27,136880.2,3244.45,1184072.59,1131019.48,9091.26,2749.95,565825.36
Total U.S.,Weekly,#FIELD!,#FIELD!,7/02/2021 0:00,Conventional,0.852306828,54548117.44,14455951.63,10555610.13,1033270.57,12999193.05,11281462.36,571879.31,629734.91,15504092.06
Total U.S.,Weekly,#FIELD!,#FIELD!,7/02/2021 0:00,Organic,1.392839501,2137123.16,81040.64,156159.26,4038.82,1200572.56,1136700.94,11689.06,85.05,695311.88
Total U.S.,Weekly,#FIELD!,#FIELD!,14/02/2021 0:00,Conventional,0.924019483,44314825,11962641.41,8356793.53,695190.15,11361927.8,9603812.14,473101.41,627054.93,11938272.11
Total U.S.,Weekly,#FIELD!,#FIELD!,14/02/2021 0:00,Organic,1.439307798,1984320.81,84641.2,158207.81,4971.58,1113605.7,1075104.37,8454.62,31.5,622894.52
Total U.S.,Weekly,#FIELD!,#FIELD!,21/02/2021 0:00,Conventional,0.974404779,40428829.49,11164465.82,7523442.05,400912.85,10282432.61,8886538.76,412729.3,526737.35,11057576.16
Total U.S.,Weekly,#FIELD!,#FIELD!,21/02/2021 0:00,Organic,1.43531202,1961753.36,91390.92,151496.48,54807.58,1120232.49,1084060.77,8802.68,12.6,543825.89
Total U.S.,Weekly,#FIELD!,#FIELD!,28/02/2021 0:00,Conventional,0.933439476,43965741.2,11262423.13,8257861.91,761531.32,11038553.05,9570042.98,483641.41,606910.24,12645371.79
Total U.S.,Weekly,#FIELD!,#FIELD!,28/02/2021 0:00,Organic,1.425999969,2133794.27,82554.4,333825.68,13280.69,1179766.64,1138316.79,9578.2,18.9,524366.85
Total U.S.,Weekly,#FIELD!,#FIELD!,7/03/2021 0:00,Conventional,0.981898449,43810860.77,11261314.8,8200831.61,573939.75,12206631.63,10724698.05,497758.99,663459.79,11568142.98
Total U.S.,Weekly,#FIELD!,#FIELD!,7/03/2021 0:00,Organic,1.425103846,2127472.41,83600.38,235052.98,4383.35,1262537.42,1222859.17,9938.09,9.45,541898.28
Total U.S.,Weekly,#FIELD!,#FIELD!,14/03/2021 0:00,Conventional,0.995422041,43371632.33,11575866.12,7714614.19,491368.22,11795886.36,10310877.22,481704.53,677334.99,11793897.43
