Geography,Timeframe,Lat,Lng,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
California,Weekly,#FIELD!,#FIELD!,23/01/2022 0:00,Conventional,1.426292325,5934897.87,1542076.29,562079.04,163560.59,1315035.76,,,,2352146.18
California,Weekly,#FIELD!,#FIELD!,16/01/2022 0:00,Conventional,1.412093977,5909254.16,1714591.2,549155,135207.19,1441219.87,,,,2069080.9
California,Weekly,#FIELD!,#FIELD!,9/01/2022 0:00,Conventional,1.27570071,6168021.13,1382604.52,691142.75,165735.32,1454580.16,,,,2473958.37
California,Weekly,#FIELD!,#FIELD!,3/01/2022 0:00,Conventional,1.204160742,6309795.37,1328170.4,778296.63,182941.17,1309717.65,,,,2710669.51
California,Weekly,#FIELD!,#FIELD!,23/01/2022 0:00,Organic,1.851263999,358253.77,19740.12,17882.6,5.86,171596.19,,,,149029.01
California,Weekly,#FIELD!,#FIELD!,16/01/2022 0:00,Organic,1.806706635,415901.17,22005.9,17769.64,2.92,176412.09,,,,199710.62
California,Weekly,#FIELD!,#FIELD!,9/01/2022 0:00,Organic,1.948208583,268115.92,16931.63,20140.95,14.51,122418.7,,,,108610.14
California,Weekly,#FIELD!,#FIELD!,3/01/2022 0:00,Organic,1.871531299,316962.52,18555.53,19420.91,0,149152.24,,,,129833.83
California,Weekly,#FIELD!,#FIELD!,20/02/2022 0:00,Conventional,1.403706194,6032406.98,1423224.65,442717.5,199747.41,1435679.09,,,,2531038.34
California,Weekly,#FIELD!,#FIELD!,13/02/2022 0:00,Conventional,1.260999731,8213748.6,1710552.29,768988.82,251589.31,2409800.72,,,,3072817.46
California,Weekly,#FIELD!,#FIELD!,6/02/2022 0:00,Conventional,1.416634265,5895908.89,1399747.05,589107.51,140306.39,1444134.6,,,,2322613.35
California,Weekly,#FIELD!,#FIELD!,30/01/2022 0:00,Conventional,1.297938551,6653424.24,1563454.6,697109.06,201501.32,1414195.71,,,,2777163.55
California,Weekly,#FIELD!,#FIELD!,20/02/2022 0:00,Organic,1.865405727,300280.93,16607,20690.41,1.16,164411.36,,,,98571
California,Weekly,#FIELD!,#FIELD!,13/02/2022 0:00,Organic,1.892807273,319568.33,16097.44,22032.8,2.86,165980.83,,,,115454.41
California,Weekly,#FIELD!,#FIELD!,6/02/2022 0:00,Organic,1.907814751,338687.56,21203.37,23671.97,2.83,167510.98,,,,126298.41
California,Weekly,#FIELD!,#FIELD!,30/01/2022 0:00,Organic,1.865001797,341691.26,23406.36,17662.29,0,169418.44,,,,131204.18
California,Weekly,#FIELD!,#FIELD!,20/03/2022 0:00,Conventional,1.432239371,5479048.47,1250478.26,362152.13,127369.16,1352474.64,,,,2386574.29
California,Weekly,#FIELD!,#FIELD!,13/03/2022 0:00,Conventional,1.489590609,6046572.99,1127141.84,494637.04,110524.7,1265821.95,,,,3048447.46
California,Weekly,#FIELD!,#FIELD!,6/03/2022 0:00,Conventional,1.509157129,5347882,1074261.12,460868.54,107770.72,1385245.75,,,,2319735.87
California,Weekly,#FIELD!,#FIELD!,27/02/2022 0:00,Conventional,1.510758677,5776922.14,1139540.06,532615.39,112432.33,1326882.61,,,,2665451.76
California,Weekly,#FIELD!,#FIELD!,20/03/2022 0:00,Organic,1.98259929,291315.63,19024.5,16940.33,0,133705.24,,,,121645.55
California,Weekly,#FIELD!,#FIELD!,13/03/2022 0:00,Organic,1.966627914,306039.74,16133.68,18089.06,1.42,139717.86,,,,132097.73
California,Weekly,#FIELD!,#FIELD!,6/03/2022 0:00,Organic,1.874043398,329372.3,19023.11,22430.23,0,157863.01,,,,130055.95
California,Weekly,#FIELD!,#FIELD!,27/02/2022 0:00,Organic,1.841188469,342457.75,18348.78,21692.99,0,171360,,,,131055.98
