"Week","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 10, 2021","2021","Actual","29,700,864","0","0","29,655,504","0","45,359","0"
"Jan 17, 2021","2021","Actual","35,559,789","0","0","35,491,750","0","68,038","0"
"Jan 24, 2021","2021","Actual","33,510,617","179,683","0","33,308,253","0","22,679","0"
"Jan 31, 2021","2021","Actual","27,577,208","106,086","0","27,471,122","0","0","0"
"Feb 7, 2021","2021","Actual","19,581,434","101,282","0","19,480,151","0","0","0"
"Feb 14, 2021","2021","Actual","24,677,365","236,985","0","24,440,378","0","0","0"
"Feb 21, 2021","2021","Actual","26,652,888","669,481","0","25,965,263","0","18,143","0"
"Feb 28, 2021","2021","Actual","28,001,304","1,557,587","0","26,425,573","0","18,143","0"
"Mar 7, 2021","2021","Actual","26,205,180","1,661,053","0","24,525,982","0","18,143","0"
"Mar 14, 2021","2021","Actual","27,672,460","1,224,875","0","26,429,440","0","18,143","0"
"Mar 21, 2021","2021","Actual","26,953,337","2,191,075","0","24,762,261","0","0","0"
"Mar 28, 2021","2021","Actual","29,240,846","3,531,148","0","25,709,697","0","0","0"
"Apr 4, 2021","2021","Actual","17,378,989","4,131,836","0","13,247,152","0","0","0"
"Apr 11, 2021","2021","Actual","25,481,894","4,537,148","0","20,905,098","21,503","18,143","0"
"Apr 18, 2021","2021","Actual","31,701,076","5,728,289","0","25,864,460","108,325","0","0"
"Apr 25, 2021","2021","Actual","28,806,344","5,476,932","0","23,242,589","86,822","0","0"
"May 2, 2021","2021","Actual","24,891,096","5,243,447","0","19,607,732","21,772","18,143","0"
"May 9, 2021","2021","Actual","25,269,627","5,271,833","0","19,719,569","260,081","18,143","0"
"May 16, 2021","2021","Actual","26,773,147","5,300,421","0","21,281,475","173,106","18,143","0"
"May 23, 2021","2021","Actual","29,815,313","5,234,757","0","23,549,038","1,031,516","0","0"
"May 30, 2021","2021","Actual","22,089,115","5,611,118","0","14,223,235","2,213,937","40,823","0"
"Jun 6, 2021","2021","Actual","20,959,105","3,747,198","0","14,855,079","2,356,826","0","0"
"Jun 13, 2021","2021","Actual","32,965,708","5,144,610","0","23,000,729","4,779,544","40,823","0"
"Jun 20, 2021","2021","Actual","27,404,443","4,342,754","0","19,654,799","3,388,745","18,143","0"
"Jun 27, 2021","2021","Actual","27,647,151","3,977,735","0","16,422,211","7,074,839","172,364","0"
"Jul 4, 2021","2021","Actual","25,862,424","3,816,774","0","16,028,356","5,931,109","86,182","0"
"Jul 11, 2021","2021","Actual","25,751,949","2,976,775","0","15,863,383","6,784,784","127,005","0"
"Jul 18, 2021","2021","Actual","26,187,611","4,344,062","0","15,594,177","6,077,006","172,364","0"
"Jul 25, 2021","2021","Actual","28,527,520","4,873,308","0","17,203,295","6,251,335","199,580","0"
"Aug 1, 2021","2021","Actual","24,700,254","4,609,129","0","14,194,670","5,760,376","136,077","0"
"Aug 8, 2021","2021","Actual","20,178,861","4,031,443","0","10,015,046","5,891,967","240,403","0"
"Aug 15, 2021","2021","Actual","23,216,397","3,339,592","0","14,534,890","5,321,048","20,865","0"
"Aug 22, 2021","2021","Actual","23,215,758","3,118,906","0","15,110,938","4,854,371","131,541","0"
"Aug 29, 2021","2021","Actual","21,436,330","2,896,101","0","14,357,553","4,046,597","136,077","0"
"Sep 5, 2021","2021","Actual","18,253,185","2,189,759","0","12,841,738","3,153,648","68,038","0"
"Sep 12, 2021","2021","Actual","19,256,634","1,122,573","0","15,241,594","2,720,101","172,364","0"
"Sep 19, 2021","2021","Actual","21,600,396","937,432","0","17,047,812","3,470,001","145,149","0"
"Sep 26, 2021","2021","Actual","28,675,248","618,357","20,411","25,447,808","2,502,488","86,182","0"
"Oct 3, 2021","2021","Actual","22,413,092","34,104","22,679","20,975,354","1,312,914","68,038","0"
"Oct 10, 2021","2021","Actual","17,285,786","0","254,011","16,466,436","501,835","63,502","0"
"Oct 17, 2021","2021","Actual","21,472,414","0","276,691","21,195,723","0","0","0"
"Oct 24, 2021","2021","Actual","26,594,963","0","131,541","26,463,421","0","0","0"
"Oct 31, 2021","2021","Actual","20,861,959","0","852,752","20,009,205","0","0","0"
"Nov 7, 2021","2021","Actual","22,975,783","0","526,166","22,449,616","0","0","0"
"Nov 14, 2021","2021","Actual","26,288,840","0","136,077","26,152,762","0","0","0"
"Nov 21, 2021","2021","Actual","20,613,611","2,968","539,774","20,070,867","0","0","0"
"Nov 28, 2021","2021","Actual","18,688,582","0","68,038","18,620,543","0","0","0"
"Dec 5, 2021","2021","Actual","20,439,672","0","566,990","19,827,322","0","45,359","0"
"Dec 12, 2021","2021","Actual","21,471,967","0","0","21,249,707","0","222,260","0"
"Dec 19, 2021","2021","Actual","23,405,281","0","489,879","22,783,860","0","131,541","0"
"Dec 26, 2021","2021","Actual","19,741,436","2,086","0","19,698,526","0","40,823","0"
"Jan 2, 2022","2021","Actual","20,352,158","0","63,502","19,971,140","0","154,221","163,293"
