h_city,h_state
Albany,New York
Atlanta,Georgia
Baltimore/Washington,Maryland
Birmingham/Montgomery,Alabama
Boise,Idaho
Boston,Massachusetts
Buffalo/Rochester,New York
Charlotte,North Carolina
Chicago,Illinois
Cincinnati/Dayton,Ohio
Columbus,Ohio
Dallas/Ft. Worth,Texas
Denver,Colorado
Detroit,Michigan
Grand Rapids,Michigan
Harrisburg/Scranton,Pennsylvania
Hartford/Springfield,Connecticut
Houston,Texas
Indianapolis,Indiana
Jacksonville,Florida
Las Vegas,Nevada
Los Angeles,California
Louisville,Kentucky
Miami/Ft. Lauderdale,Florida
Nashville,Tennessee
New Orleans/Mobile,Louisiana
New York,New York
Northern New England,Maine
Orlando,Florida
Peoria/Springfield,Illinois
Philadelphia,Pennsylvania
Phoenix/Tucson,Arizona
Pittsburgh,Pennsylvania
Portland,Oregon
Providence,Rhode Island
Raleigh/Greensboro,North Carolina
Richmond/Norfolk,Virginia
Roanoke,Virginia
Sacramento,California
San Diego,California
San Francisco,California
Seattle,Washington
Spokane,Washington
St. Louis,Missouri
Syracuse,New York
Tampa,Florida
Toledo,Ohio
West Tex/New Mexico,Texas
Wichita,Kansas
California,Total
Great Lakes,Total
Midsouth,Total
Northeast,Total
Plains,Total
South Carolina,Total
South Central,Total
Southeast,Total
Total U.S.,Total
West,Total
