Week,Year,Status,Total Volume,California,Chile,Mexico,Peru,Colombia,Dominican Republic,WEDate
"Jan 5, 2020",2020,Actual,14758724.0,16882.0,72139.0,14647021.0,0.0,22679.0,0.0,05-01-2020
"Jan 12, 2020",2020,Actual,29622992.0,145088.0,80639.0,29397263.0,0.0,0.0,0.0,12-01-2020
"Jan 19, 2020",2020,Actual,34643375.0,727882.0,101039.0,33791772.0,0.0,22679.0,0.0,19-01-2020
"Jan 26, 2020",2020,Actual,30230597.0,1280256.0,0.0,28927660.0,0.0,22679.0,0.0,26-01-2020
"Feb 2, 2020",2020,Actual,20599873.0,1226734.0,0.0,19373138.0,0.0,0.0,0.0,02-02-2020
"Feb 9, 2020",2020,Actual,13370485.0,1129128.0,0.0,12241356.0,0.0,0.0,0.0,09-02-2020
"Feb 16, 2020",2020,Actual,23003275.0,2384605.0,0.0,20618669.0,0.0,0.0,0.0,16-02-2020
"Feb 23, 2020",2020,Actual,27295113.0,2927770.0,0.0,24367342.0,0.0,0.0,0.0,23-02-2020
"Mar 1, 2020",2020,Actual,25489974.0,4438598.0,0.0,21051375.0,0.0,0.0,0.0,01-03-2020
"Mar 8, 2020",2020,Actual,21373018.0,3742037.0,0.0,17630980.0,0.0,0.0,0.0,08-03-2020
"Mar 15, 2020",2020,Actual,21790490.0,1754931.0,0.0,20012879.0,22679.0,0.0,0.0,15-03-2020
"Mar 22, 2020",2020,Actual,24841247.0,3667839.0,0.0,21173408.0,0.0,0.0,0.0,22-03-2020
"Mar 29, 2020",2020,Actual,16431614.0,3775546.0,0.0,12656068.0,0.0,0.0,0.0,29-03-2020
"Apr 5, 2020",2020,Actual,11064408.0,3598682.0,0.0,7336702.0,129022.0,0.0,0.0,05-04-2020
"Apr 12, 2020",2020,Actual,11314894.0,1413008.0,0.0,9837374.0,64511.0,0.0,0.0,12-04-2020
"Apr 19, 2020",2020,Actual,29815403.0,7140016.0,0.0,22546364.0,129022.0,0.0,0.0,19-04-2020
"Apr 26, 2020",2020,Actual,32142196.0,7680479.0,0.0,24397205.0,64511.0,0.0,0.0,26-04-2020
"May 3, 2020",2020,Actual,26010697.0,7916904.0,0.0,17900259.0,193533.0,0.0,0.0,03-05-2020
"May 10, 2020",2020,Actual,31213735.0,7871218.0,0.0,22955448.0,387067.0,0.0,0.0,10-05-2020
"May 17, 2020",2020,Actual,24820709.0,6675017.0,0.0,17565090.0,580601.0,0.0,0.0,17-05-2020
"May 24, 2020",2020,Actual,23555958.0,7536867.0,0.0,15137435.0,881654.0,0.0,0.0,24-05-2020
"May 31, 2020",2020,Actual,23435943.0,5380056.0,0.0,16163555.0,1892331.0,0.0,0.0,31-05-2020
"Jun 7, 2020",2020,Actual,24640121.0,5555358.0,0.0,15402500.0,3638870.0,43391.0,0.0,07-06-2020
"Jun 14, 2020",2020,Actual,29204843.0,6052939.0,0.0,17882712.0,5182406.0,86783.0,0.0,14-06-2020
"Jun 21, 2020",2020,Actual,29766704.0,6239079.0,0.0,17937685.0,5504963.0,84975.0,0.0,21-06-2020
"Jun 28, 2020",2020,Actual,30475084.0,6907566.0,0.0,15891967.0,7569324.0,106225.0,0.0,28-06-2020
"Jul 5, 2020",2020,Actual,25046120.0,5343331.0,0.0,12073018.0,7545239.0,84529.0,0.0,05-07-2020
"Jul 12, 2020",2020,Actual,23704208.0,5166964.0,0.0,11463798.0,6967218.0,106225.0,0.0,12-07-2020
"Jul 19, 2020",2020,Actual,25187185.0,4594958.0,0.0,13237170.0,7268271.0,86783.0,0.0,19-07-2020
"Jul 26, 2020",2020,Actual,27011258.0,4301752.0,0.0,16687816.0,5893320.0,128368.0,0.0,26-07-2020
"Aug 2, 2020",2020,Actual,27936294.0,4218923.0,0.0,17448968.0,6116530.0,151871.0,0.0,02-08-2020
"Aug 9, 2020",2020,Actual,23734849.0,4333200.0,0.0,14564533.0,4773835.0,63279.0,0.0,09-08-2020
"Aug 16, 2020",2020,Actual,20562991.0,3943294.0,0.0,12812569.0,3698647.0,108479.0,0.0,16-08-2020
"Aug 23, 2020",2020,Actual,24574210.0,3571556.0,0.0,17841215.0,3118045.0,43391.0,0.0,23-08-2020
"Aug 30, 2020",2020,Actual,22098016.0,3853037.0,0.0,15713819.0,2472932.0,58226.0,0.0,30-08-2020
"Sep 6, 2020",2020,Actual,23901341.0,3834426.0,0.0,18110072.0,1956842.0,0.0,0.0,06-09-2020
"Sep 13, 2020",2020,Actual,22808594.0,2696919.0,23039.0,19013446.0,1075188.0,0.0,0.0,13-09-2020
"Sep 20, 2020",2020,Actual,20859020.0,3074999.0,90239.0,17349720.0,344060.0,0.0,0.0,20-09-2020
"Sep 27, 2020",2020,Actual,25411229.0,2696299.0,250048.0,22421873.0,43007.0,0.0,0.0,27-09-2020
